question,text,question_clean
What was the resolution of the Arab league?,three nos,resolutionarableague
What did Montevideo suffer between 1843 and 1851?,a siege,montevideosuffer18431851
A war with the USSR was considered certain according to whom?,Hitler,warussrconsideredcertainaccording
For which health professional is Governmental regulation more universal?,RDN,healthprofessionalgovernmentalregulationuniversal
Which of Bush's policies did Dean criticize most notably?,the 2003 invasion of Iraq,bushpolicydeancriticizenotably
What year was Brian May's signature guitar made?,1963,yearbrianmaysignatureguitarmade
What nation were the allies against?,Japan,nationally
Which adolescent ethninticy is most often studied?,white,adolescentethninticyoftenstudied
How many branch offices will be creted in general bases?,17,manybranchofficecretedgeneralbase
What is one type of configuration in which a capacitor may have its connecting leads organized?,axially,onetypeconfigurationcapacitormayconnectingleadorganized
"What are bare-board tests looking for besides ""opens""?","""shorts""",bareboardtestlookingbesidesopen
Which former president was by far the most senior politician to be accused of genocidal crimes by the ICTY?,Slobodan Milošević,formerpresidentfarseniorpoliticianaccusedgenocidalcrimeicty
Do streets' names change from West to East or North to South?,West to East,streetnamechangewesteastnorthsouth
"According to Thomas Jefferson, when the media is free and people are literate they are what?",safe,accordingthomasjeffersonmediumfreepeopleliterate
What kind of printing press helped increase the circulation and influence of The Times back in 1817?,steam-driven rotary printing press,kindprintingpresshelpedincreasecirculationinfluencetimeback1817
When were DBX recordings released?,mid-1970s,dbxrecordingreleased
Submarines and naval aircraft damaged what primarily?,British war economy,submarinenavalaircraftdamagedprimarily
Give an example of someone who was a caretaker manager?,examples include Paul Hart at Portsmouth and David Pleat at Tottenham Hotspur.,giveexamplesomeonecaretakermanager
During what time is there no record of Christians using instruments for worship?,33 AD to 180AD,timerecordchristianusinginstrumentworship
How long ago did earlier hominids live on the Indian subcontinent?,"500,000 years ago",longagoearlierhominidliveindiansubcontinent
Patriarch cardinals are not given what title?,a suburbicarian see,patriarchcardinalgiventitle
What was the Rosarium converted into?,a park,rosariumconverted
How many cities or towns are there in all of England and Wales with a ceremonial sheriff acting as the Mayor's deputy?,16,manycitytownenglandwaleceremonialsheriffactingmayordeputy
What temperature makes a glacier polythermal?,partly cold-based and partly warm-based,temperaturemakeglacierpolythermal
What is the general materialistic view of an object?,Each object is simply an inert clump of matter that is only externally related to other things,generalmaterialisticviewobject
What can most of Nanjing's multi-purpose theatres be used for?,"convention halls, cinemas, musical halls and theatres",nanjingmultipurposetheatreused
How many layers of semiconductor do BJTs have?,three,manylayersemiconductorbjts
Once everyone was a part of what group did Kant believe all of society would be enlightened?,"the ""reading public""",everyonepartgroupkantbelievesocietywouldenlightened
What country is Burma to credit for its academic system ?,United Kingdom's,countryburmacreditacademicsystem
Decisions of the Dutch Supreme Court are called what?,arresten,decisiondutchsupremecourtcalled
How many people did Fitzroy have per km2 between 2012 and 2013?,"7,900",manypeoplefitzroyperkm220122013
What did the Supreme Court hold the First Amendment establishment clause was fully applicable to?,state governments,supremecourtholdfirstamendmentestablishmentclausefullyapplicable
Above what temperature is the β form of uranium hydride created?,250 °C,temperatureβformuraniumhydridecreated
What city held the Olympics in 2012?,London,cityheldolympics2012
How many elephants are believed to be left in Eritrea?,around 100,manyelephantbelievedlefteritrea
Who is the Thunders head coach?,Billy Donovan,thunderheadcoach
How many museums are in Oklahoma?,more than 300,manymuseumoklahoma
What did Spellings' findings reveal?,"this form of memory degrades so quickly, participants would see the display but be unable to report all of the items",spellingfindingreveal
When would you have first found the moving coil microphone?,around 1930,wouldfirstfoundmovingcoilmicrophone
What is another term for legal adulthood?,age of majority,anothertermlegaladulthood
What type of applications have videoconferencing manufacturers begun to offer?,mobile,typeapplicationvideoconferencingmanufacturerbegunoffer
What is the U.S. Federal Reserve's traditional role during a crisis?,lender-of-last-resort,ufederalreservetraditionalrolecrisis
Who is the former chief scientific adviser to the UK government?,Sir David King,formerchiefscientificadviserukgovernment
In what year was the canon image further refined on the Arsenal crest?,1925,yearcanonimagerefinedarsenalcrest
Of what was Magadha one of sixteen?,Mahā-Janapadas,magadhaonesixteen
What did von Neumann use the Haar theorem to solve in a 1936 paper?,Hilbert's fifth problem in the case of compact groups,vonneumannusehaartheoremsolve1936paper
What was the complaint about how Kerry ran the State Dept?,"power has become too centralized under Kerry's leadership, which slows department operations when Kerry is on one of his frequent overseas trips",complaintkerryranstatedept
How many numbers can a byte represent?,256 different numbers,manynumberbyterepresent
How is graphics information read from a CD+ Graphics?,television set or a computer monitor,graphicinformationreadcdgraphic
What tightly controlled book brought appeal for classic interior to masses?,Le Antichità di Ercolano (The Antiquities of Herculaneum).,tightlycontrolledbookbroughtappealclassicinteriormass
Where were Matare and Welker working when inventing the point-contact transistor?,Compagnie des Freins et Signaux,matarewelkerworkinginventingpointcontacttransistor
Who does pyometra affect?,unspayed females,pyometraaffect
How much of Houston's total area is water?,22.3 square miles,muchhoustontotalareawater
What is a highly prized fixture of Estonian society?,free education,highlyprizedfixtureestoniansociety
What goal is cited as the reason these killings took place?,purer absolute theocracy,goalcitedreasonkillingtookplace
In which centuries did a proliferation of secret treaties occur that led the United Nations Charter to include an obligation to register treaties to be invoked before it?,19th and 20th century,centuryproliferationsecrettreatyoccurledunitednationcharterincludeobligationregistertreatyinvoked
How do scientiest measure brain activity?,by using brain-scanning techniques,scientiestmeasurebrainactivity
Whose comments increased racial tension in the Fall of 2015?,Nicholas A. Christakis and his wife Erika,whosecommentincreasedracialtensionfall2015
What are Kathmandu's primary religions?,Hinduism and Buddhism,kathmanduprimaryreligion
What award did Sammy Sosa win?,the NL MVP Award,awardsammysosawin
"What Act by Victoria granted the ability to vote to working men, but not women? ",Reform Act 1867,actvictoriagrantedabilityvoteworkingmenwoman
What style came after Modernism?,International Style,stylecamemodernism
What territory is Kubwa Community in?,Federal Capital Territory,territorykubwacommunity
What name does the Boston School for Deaf Mutes go by now?,the public Horace Mann School for the Deaf,namebostonschooldeafmutego
What younger sister of Beyonce also appeared in Destiny's Child?,Solange,youngersisterbeyoncealsoappeareddestinychild
When does the first record of the name Israel occurs?,Merneptah stele,firstrecordnameisraeloccurs
The methods kennel clubs used to classify dogs is what?,unsystematic.,methodkennelclubusedclassifydog
When did Eisenhower become President of the United States?,"January 20, 1953",eisenhowerbecomepresidentunitedstate
"Besides stamps, what did the Soviet Union also create in Avicenna's honor?",a bust,besidesstampsovietunionalsocreateavicennahonor
Who created the Type Delineator?,David Kolb and Anthony Gregorc's,createdtypedelineator
Who is the main character of the story?,Link,maincharacterstory
How much lower is the Swazi Real GDP growth in comparison to other Southern African Customs Union members is Swaziland?,nearly 2 percentage points,muchlowerswazirealgdpgrowthcomparisonsouthernafricancustomunionmemberswaziland
What were the hunger strikers hoping to draw attention to?,plight of their Church.,hungerstrikerhopingdrawattention
In what year did Japan establish a base in New Guinea?,1942,yearjapanestablishbasenewguinea
Which abbot of St. Alban's abbey built a mechanical clock around 1330?,Richard of Wallingford,abbotstalbansabbeybuiltmechanicalclockaround1330
What country did Eisenhower neglect to assist in their military action in Vietnam?,France,countryeisenhowerneglectassistmilitaryactionvietnam
What architecture firm was hired by the Board of Directors at Washington University? ,"Olmsted, Olmsted & Eliot of Boston",architecturefirmhiredboarddirectorwashingtonuniversity
What countries did Gladstone think Burke was wise about?,Ireland and America,countrygladstonethinkburkewise
Who tied her record for most Grammies won in one night in 2012?,Adele,tiedrecordgrammiesonenight2012
How many french and Indian wars did Boston participate in?,four,manyfrenchindianwarbostonparticipate
In what common household item can you find infrared LEDs?,LED Computers,commonhouseholditemfindinfraredled
For whom is Washington University named?  ,George Washington,washingtonuniversitynamed
The Muslim sect known as the Druze is considered what?,heretical,muslimsectknowndruzeconsidered
What is a drawback of using gramophones?,fidelity steadily declines as playback progresses,drawbackusinggramophone
Who was the Nelke Theatre named for?,one of BYU's first drama teachers,nelketheatrenamed
From what language was literature notably translated into West Saxon?,Latin,languageliteraturenotablytranslatedwestsaxon
During whose reign was the former town of Sutton referred to as Plymouth?,King Henry VI,whosereignformertownsuttonreferredplymouth
In what year did the Motion Picture Production Code cease?,1968,yearmotionpictureproductioncodecease
What squadrons deploy to these locations?,CF-18 squadrons,squadrondeploylocation
The euphonium usually played parts marked as what?,"""tenor tuba""",euphoniumusuallyplayedpartmarked
"Who was named as a teacher at the second madrasa, housed in a mosque?",Hazrat 'Ubada bin Samit,namedteachersecondmadrasahousedmosque
In what year did Napoleon's Franco-Persian alliance end?,1807,yearnapoleonfrancopersianallianceend
Texts concerning Aksobhya Buddha were probably composed in what century BCE?,1st,textconcerningaksobhyabuddhaprobablycomposedcenturybce
What country did Pringle cite as having homes with better proportions than those found in the UK?,Holland,countrypringlecitehomebetterproportionfounduk
Who led the war on Dniester and Dnieper?,Oleg,ledwardniesterdnieper
In what year did Elizabeth become Queen?,1952,yearelizabethbecomequeen
What did the Declaration Of Independence proclaim?,independence from Great Britain and their formation of a cooperative union.,declarationindependenceproclaim
When did registered Republicans become a majority in Oklahoma?,2015,registeredrepublicanbecomemajorityoklahoma
What are drawn from conventional abbreviated forms?,majority of simplified characters,drawnconventionalabbreviatedform
Who wrote 'A Kind of Alaska'?,Harold Pinter,wrotekindalaska
What city was recaptured as a result of the Ridgway's operation?,Wonju,cityrecapturedresultridgwaysoperation
When did Fiske propose his reforms to the way the Navy operated?,1913–15,fiskeproposereformwaynavyoperated
"Along with the United States, what country did Gaddafi believe to be imperialist?",Soviet Union,alongunitedstatecountrygaddafibelieveimperialist
"In 2010, what country had more Protestants than both the UK and Germany together?",Brazil,2010countryprotestantukgermanytogether
What architectural style was the Rice House designed in?,International,architecturalstylericehousedesigned
The British Architectural Library is the biggest library of its kind in which continent?,Europe,britisharchitecturallibrarybiggestlibrarykindcontinent
In what country is the National Research Council located?,United States,countrynationalresearchcouncillocated
What kind of wood has all similarly sized vessels?,diffuse-porous,kindwoodsimilarlysizedvessel
What was the only language many deaf people had?,signing,languagemanydeafpeople
At what place did Akbar's army defeat Hemu in 1556?,Second Battle of Panipat,placeakbarsarmydefeathemu1556
Which of Spielberg's parents liked sci-fi?,his father,spielbergparentlikedscifi
On what charge was Li Ying jailed for?,treason,chargeliyingjailed
What was the HMS Prince carrying when it sunk?,a cargo of winter clothing,hmprincecarryingsunk
The ethnic groups Malays & Chinese are predominant in which country?,Malaysia,ethnicgroupmalaychinesepredominantcountry
In which year was there a cover article on the National Geographic regarding diet recommendations?,2005,yearcoverarticlenationalgeographicregardingdietrecommendation
When did Britain declare martial law in a North American colony?,1774,britaindeclaremartiallawnorthamericancolony
Which street is much wider from Avenue C to First Avenue?,20th Street,streetmuchwideravenuecfirstavenue
Under whose direction was there disappointment?,Gaspart,whosedirectiondisappointment
What plays a secondary part in Catalan?,morphological alternations,playsecondarypartcatalan
Where is SunTrust Bank headquartered?,Atlanta,suntrustbankheadquartered
In 1829 on a trip back to Berlin Chopin was a guest of who?,Prince Antoni Radziwiłł,1829tripbackberlinchopinguest
Which direction from Tucson is Picture Rocks?,northwest,directiontucsonpicturerock
What notable vow was sworn by the mendicant orders?,poverty,notablevowswornmendicantorder
The epithet Delphinius is associated with what animal?,dolphins,epithetdelphiniusassociatedanimal
What happened when Nicholas II was removed from power?,the Russian Provisional Government was established.,happenednicholasiiremovedpower
How many chapels are on the Notre Dame campus?,Fifty-seven,manychapelnotredamecampus
"How much do the lexicons of Czech and Slovak differ, according to on study?",by 80 percent,muchlexiconczechslovakdifferaccordingstudy
What is the given name of a lion and tiger hybrid?,liger,givennameliontigerhybrid
What year saw a film version of The Hunchback of Notre Dame?,1923,yearsawfilmversionhunchbacknotredame
How many members are on the NYC city council?,51,manymembernyccitycouncil
What type of animal began to flourish and become increasingly large?,reptiles,typeanimalbeganflourishbecomeincreasinglylarge
How many years after the noted absence of the whooping crane from its breeding range did the first law regulating wildlife commerce pass,eight years,manyyearnotedabsencewhoopingcranebreedingrangefirstlawregulatingwildlifecommercepas
How much of the glaciation in Austria disappeared?,Forty percent,muchglaciationaustriadisappeared
When did Eritrea gain independence?,following the 1993 referendum,eritreagainindependence
How close did von Bellingshausen and Lazarev come to Antarctica?,32 km,closevonbellingshausenlazarevcomeantarctica
What is another name for Universal Studios Inc.?,Universal Pictures,anothernameuniversalstudioinc
Who sold Egypt's portion of Suez?,Ismail,soldegyptportionsuez
"If someone contemplates God forever, what type of knowledge will they obtain?",imperfect,someonecontemplatesgodforevertypeknowledgeobtain
What was the mandated closing time of pubs in Kensington in the 1960s?,10:30 pm,mandatedclosingtimepubkensington1960s
What is the rate of interreligious marriage in the United Kingdom?,53%,rateinterreligiousmarriageunitedkingdom
"Who modeled the atom in 1913, challenging Rutherford's model?",Niels Bohr,modeledatom1913challengingrutherfordmodel
"Along with Ottawa, Calgary, Edmonton, Montreal, Winnipeg, Hamilton and Vancouver, what Canadian city has a significant Somali population?",Toronto,alongottawacalgaryedmontonmontrealwinnipeghamiltonvancouvercanadiancitysignificantsomalipopulation
What is AtDNA generally only used to measure?,average continent-of-ancestry,atdnagenerallyusedmeasure
Where exactly is Cabot Tower located in St. John' ?,Signal Hill,exactlycabottowerlocatedstjohn
What sources of energy does Switzerland heavily rely on?,renewable,sourceenergyswitzerlandheavilyrely
What did Pope Paul VI re-convene when he became Pope?,the Second Vatican Council,popepaulvireconvenebecamepope
What was the name of the hotel that took up a full city block?,The United States Hotel,namehoteltookfullcityblock
In what year did a red helium-neon laser come to be?,1962,yearredheliumneonlasercome
"Other than the Silver Proof set, what other type of Proof set exists?",Presidential Dollar Proof Set,silverproofsettypeproofsetexists
What are the official documents appointing a party's representative to act on their behalf?,full powers,officialdocumentappointingpartyrepresentativeactbehalf
Who are cast in Eton's female roles in their productions?,girls from surrounding schools,castetonsfemaleroleproduction
In what year did Schwarzenegger and Maria Shriver separate?,2011,yearschwarzeneggermariashriverseparate
After what event did the last citta irredente join Italy?,World War I.,eventlastcittairredentejoinitaly
What group dominated the political scene when Mubarak was in power?,"National Democratic Party,",groupdominatedpoliticalscenemubarakpower
In what contests did Lapua win  metals for Tuvalu?,weightlifting,contestlapuawinmetaltuvalu
What might cause Neptune's extreme orientation? ,flows in the planets' interiors,mightcauseneptuneextremeorientation
How many passengers will the new airport be able to handle?,120 million,manypassengernewairportablehandle
"What percentage of the population of Southampton is Black, according to the 2001 Census?",1.0,percentagepopulationsouthamptonblackaccording2001census
What can be done to a metal to enhance its properties?,combining it with one or more other metals or non-metals,donemetalenhanceproperty
"What law was signed on Sep 14, 2001?",Authorization for Use of Military Force Against Terrorists,lawsignedsep142001
What does herd immunity offer to vulnerable people when a large enough proportion of the population has acquired immunity?,a measure of protection,herdimmunityoffervulnerablepeoplelargeenoughproportionpopulationacquiredimmunity
How is Detroit's TV market ranked?,11th largest,detroittvmarketranked
Who was the first westerner to translate One Thousand and One Nights?,Antoine Galland,firstwesternertranslateonethousandonenight
What percentage of the sequencing did the Washington University Medical School contribute to the Human Genome Project?,25%,percentagesequencingwashingtonuniversitymedicalschoolcontributehumangenomeproject
What must a prophet do?,guide the people,mustprophet
What infrastructure project was part of the National Charter?,widening the Suez Canal,infrastructureprojectpartnationalcharter
What did Gary Kildall clone to create CP/M?,RT-11,garykildallclonecreatecpm
What did the congregations which continued to form during Russell's ministry remain?,self-administrative,congregationcontinuedformrussellministryremain
Who said that the Marshalls are the most endangered nation in the world?,the president of Nauru,saidmarshallendangerednationworld
What percentage of the vote did Schwarzenegger's opponent Bustamante receive?,31%,percentagevoteschwarzeneggersopponentbustamantereceive
Dr. Feelgood and the Kursaal Flyers are examples of bands from what genre of music?,Pub rock,drfeelgoodkursaalflyerexamplebandgenremusic
"How does one say the word ""music"" in Czech?",hudba,onesaywordmusicczech
Who had new standards of showmanship?,Madonna and Janet Jackson,newstandardshowmanship
Where is Albert Einstein live?,the Kramgasse 49,alberteinsteinlive
Who insisted that the surplus from The Great Exhibition be used as a home for culture and education for all?,Albert,insistedsurplusgreatexhibitionusedhomecultureeducation
What is usually more similar to traditional Chinese characters?,jōyō kanji,usuallysimilartraditionalchinesecharacter
What type of disagreement existed in tribal groups that were controlled by charismatic leaders?,inter-group conflict,typedisagreementexistedtribalgroupcontrolledcharismaticleader
What negative qualities does Palermo carry?,"high unemployment levels, high corruption and a significant black market empire",negativequalitypalermocarry
When did people start living on the edge of the desert?,ice age,peoplestartlivingedgedesert
In what New Jersey city does the Holland Tunnel terminate?,Jersey City,newjerseycityhollandtunnelterminate
Many people were considered influenced by Chopin's what?,national modes and idioms,manypeopleconsideredinfluencedchopin
Which league had the second most Champions League wins between 1992 and 2013?,Serie A,leaguesecondchampionleaguewin19922013
On which date did France issue a declaration of war to the Prussian government?,19 July 1870,datefranceissuedeclarationwarprussiangovernment
Where are rose windows used on English cathedrals?,the transept gables,rosewindowusedenglishcathedral
What is a cost of nocturnal migration?,loss of sleep,costnocturnalmigration
Why are specific seasons for bow hunting established?,limit competition with hunters using more effective weapons,specificseasonbowhuntingestablished
"What are racial, religious, ethnic, and occupational aspects aspects of?",identity,racialreligiousethnicoccupationalaspectaspect
What was considered a compelling way to defame poltical rivals?,An accurate accusation of being an alcoholic,consideredcompellingwaydefamepolticalrival
What supports UNFPA's work?,the international community,supportunfpaswork
How many components are used in assessment?,three components,manycomponentusedassessment
Which two Dutch dialects had the greatest influence in the Middle Ages?,Flanders and Brabant,twodutchdialectgreatestinfluencemiddleage
What type of housing structure makes up most of the large residential districts of NYC?,brownstone rowhouses,typehousingstructuremakelargeresidentialdistrictnyc
What is the process that converts sunlight to energy?,photosynthesis,processconvertsunlightenergy
What does lignin react to to produce the yellowing you see in newspapers?,light and oxygen,ligninreactproduceyellowingseenewspaper
What was Gerald Ford's role as minority leader under Johnson administration?,propose Republican alternatives,geraldfordroleminorityleaderjohnsonadministration
What a capella competition is hosted at UC Berkeley?,Anahat,capellacompetitionhosteducberkeley
Which writer in The Guardian was critical of Hopkins?,Zoe Williams,writerguardiancriticalhopkins
In what century was the horrific wars?,20th century,centuryhorrificwar
When did Suriname officially become independent from the Netherlands?,1975,surinameofficiallybecomeindependentnetherlands
What year was the Olympic Games apparatus and events standardized?,1954,yearolympicgameapparatuseventstandardized
"What is active defense, according to the functions of the DCA? ",employment of limited offensive action and counterattacks,activedefenseaccordingfunctiondca
What led to the defeat of the Prussians at Memel?,five days of artillery bombardment,leddefeatprussianmemel
What cut of pork do those in Western North Carolina prefer for BBQ?,pork shoulder,cutporkwesternnorthcarolinapreferbbq
What is one of the provinces?,the Atlantic Coast Uplands,oneprovince
What kind of force could the canonical principles be said to have within the Communion?,living,kindforcecouldcanonicalprinciplesaidwithincommunion
What kind of school is not available in some parts of Germany?,Hauptschule,kindschoolavailablepartgermany
Overdependence on oil income led to the fall of what form of government in Nigeria?,federalism,overdependenceoilincomeledfallformgovernmentnigeria
Who will show 116 games for that same time period?,The remaining 116 games were retained by Sky who paid £760 million-a-year.,show116gametimeperiod
Is TB common or uncommon in the United States?,uncommon,tbcommonuncommonunitedstate
Where did Sonam Gyatso die?,Mongolia,sonamgyatsodie
What are some major cities occupied by the Chinese during the Second Sino-Japanese War?,"Beijing, Shanghai, Nanjing, and Wuhan",majorcityoccupiedchinesesecondsinojapanesewar
How many bishops attended the First Council?,318,manybishopattendedfirstcouncil
"What was the next biggest competitor for television viewers, next to the debate?",Major League Baseball playoffs broadcast simultaneously,nextbiggestcompetitortelevisionviewernextdebate
When did Beyoncé release her first solo album?,"June 24, 2003",beyoncéreleasefirstsoloalbum
What does the acronym LES refer to?,source luminous efficacy,acronymlerefer
Who called Hillhouse Avenue the most beautiful street in America in the 1840's?,Charles Dickens,calledhillhouseavenuebeautifulstreetamerica1840s
When did Protestantism begin to split?,the mid-to-late 16th century,protestantismbeginsplit
What London museum was named for an historic Queen of England and her Prince husband?,the Victoria and Albert Museum (for the applied arts),londonmuseumnamedhistoricqueenenglandprincehusband
"When did Seibu, located in Jakarta, re-open? ",2007,seibulocatedjakartareopen
How many consecutive elections did the Lyons Government win?,three,manyconsecutiveelectionlyongovernmentwin
what is the name of the movement of liberalism?,Haskalah,namemovementliberalism
What other Unique Architecture started in Miami after world war 2 ,"Miami Modern, which can be seen in areas such as Miami's MiMo Historic District.",uniquearchitecturestartedmiamiworldwar2
What virus caused tumors in most mammals?,SV40,viruscausedtumormammal
Who performed the tasks of the Zongli Yamen before it was created?,Board of Rites and Lifan Yuan,performedtaskzongliyamencreated
What is the name of a US government agency tasked with trying to stop improper use of antibiotics?,US Interagency Task Force on Antimicrobial Resistance,nameugovernmentagencytaskedtryingstopimproperuseantibiotic
What color LED was demonstrated in 1994?,blue,colorleddemonstrated1994
How many people were part of the study?,"6,000",manypeoplepartstudy
On what island is New York City's highest point located?,Staten Island,islandnewyorkcityhighestpointlocated
When did Palmerston die?,1865,palmerstondie
The neural groove is a hollow cord of cells with what in the center?,fluid-filled ventricle,neuralgroovehollowcordcellcenter
What was the name of the cursive script that gave expression to spoken words?,hiragana,namecursivescriptgaveexpressionspokenword
What was the magnitude of the earthquake that affected New Delhi on September 2011?,4.2-magnitude,magnitudeearthquakeaffectednewdelhiseptember2011
What is the name of the city's public television service?,NYCTV,namecitypublictelevisionservice
What is Levante UD's stadium?,Estadi Ciutat de València,levanteudsstadium
Who was the Papal Sacristan for John XXIII?,Petrus Canisius Van Lierde,papalsacristanjohnxxiii
Who was the only Arab leader not to attend Nasser's funeral?,Saudi King Faisal,arableaderattendnasserfuneral
What was the name of the erotic thriller that shows scenes of sadomasochism and bondage?,Body of Evidence,nameeroticthrillershowscenesadomasochismbondage
Why are there not more arrests from undercover investigations of interstate wildlife commerce?,the US Fish and Wildlife Service revealed that the agency does not have sufficient staff to perform undercover investigations,arrestundercoverinvestigationinterstatewildlifecommerce
Who conquered parts of Mauretania?,The Romans,conqueredpartmauretania
How long did the Soviet Union retain a hegemonic role?,until the period 1989–1991,longsovietunionretainhegemonicrole
Where did the people of the Mali empire immigrate to?,the Grand Cape Mount region.,peoplemaliempireimmigrate
What was the name of Kanye's 2002 mixtape that he wrote while in the hospital?,Get Well Soon...,namekanyes2002mixtapewrotehospital
What does mauron mean?,black,mauronmean
What policy did Japan adopt to retaliate against China?,"""Three Alls Policy"" (""Kill all, Burn all, Loot all"")",policyjapanadoptretaliatechina
When did Leochares make The Apollo Belvedere?,between 350 and 325 BCE,leocharesmakeapollobelvedere
When did East and West Florida Merge ,"On March 30, 1822, the United States merged East Florida and part of West Florida into the Florida Territory",eastwestfloridamerge
With what did the Calendar Act align the British calendar?,Gregorian calendar,calendaractalignbritishcalendar
Do all plants have male and female parts?,separate individuals,plantmalefemalepart
How many homes were totally destroyed in the Plymouth Blitz?,"over 3,700",manyhometotallydestroyedplymouthblitz
What was the name of the governor who suggested relocating the population of Saint Helena?,Isaac Pyke,namegovernorsuggestedrelocatingpopulationsainthelena
From what time span were USN Torpedo Boats stationed at Funafuti?,2 November 1942 to 11 May 1944,timespanusntorpedoboatstationedfunafuti
In what year did Tucson get the most rain?,1983,yeartucsongetrain
What is Mary Parker Follett known for?,pioneer in the fields of organizational theory and organizational behavior,maryparkerfollettknown
Avian species such as Anchiornis huxleyi and Xiaotingia zhengi are from which time period?,late Jurassic period,avianspecieanchiornishuxleyixiaotingiazhengitimeperiod
Who was the first runner with the torch?,Pak Du Ik,firstrunnertorch
Where is eating insects considered taboo?,first-world countries,eatinginsectconsideredtaboo
The Office of Strategic Services is an example of what type of posting during the War?,intelligence,officestrategicserviceexampletypepostingwar
What makes the Windows 8 interface difficult to use?,the lack of instructions provided by the operating system on the functions accessed through the user interface,makewindow8interfacedifficultuse
How did styles disseminate before Georgian architecture?,the apprenticeship system,styledisseminategeorgianarchitecture
Why did Hartshorne feel that God must be affected by people?,people would not praise a human ruler who was unaffected by either the joys or sorrows of his followers – so why would this be a praise-worthy quality in God?,hartshornefeelgodmustaffectedpeople
For how many months did the night raids continue for?,two months,manymonthnightraidcontinue
What was required of a LaserDisc to continue playback after 60 minutes?,a disc has to be flipped over in order to continue watching,requiredlaserdisccontinueplayback60minute
In which two systems can Indigenous education be used?,formal and non-formal educational systems,twosystemindigenouseducationused
Which notable astronaut is known to have attended Notre Dame?,Jim Wetherbee,notableastronautknownattendednotredame
How far was it from Chengdu?,80 kilometres,farchengdu
Even small amounts of public money can be a lot in what type of authority?,centralized,evensmallamountpublicmoneylottypeauthority
What was the purpose of the Third Crusade?,to regain Jerusalem,purposethirdcrusade
What does the Ministry of Foreign Affairs of the Republic of Greece conduct?,"""bilateral relationships""",ministryforeignaffairrepublicgreececonduct
When did  Obama have the protest plates put on his Presidential limousine?,at the beginning of his second term,obamaprotestplateputpresidentiallimousine
"What's another word for ""sputum""?",phlegm,whatsanotherwordsputum
What percentage of tuberculosis infections don't ever manifest in symptoms of the disease?,25%,percentagetuberculosisinfectiondontevermanifestsymptomdisease
What ranking does the Boston park system have?,third-best,rankingbostonparksystem
What other text was related to the Ashtadhyayi?,the Shiva Sutras,textrelatedashtadhyayi
Where can one find the most sage scrub in San Diego?,low elevations,onefindsagescrubsandiego
What artist released the best selling album of the 1970s?,Fleetwood Mac,artistreleasedbestsellingalbum1970s
What was Darwin's work on coral reefs titled?,The Structure and Distribution of Coral Reefs,darwinworkcoralreeftitled
"In the APEX system, the increment that doubles the exposure is called what?","""stop""",apexsystemincrementdoubleexposurecalled
"The desire to explore, record and systematize knowledge had a meaningful impact on what other form of publication?",music,desireexplorerecordsystematizeknowledgemeaningfulimpactformpublication
"The Sword, High on Fire, Witchcraft and Wolfmother are all examples of what hard rock sub-genre?",retro-metal,swordhighfirewitchcraftwolfmotherexamplehardrocksubgenre
What does Anglican mean?,the English Church,anglicanmean
What nation had control of the Carolines?,Spain,nationcontrolcarolines
Which city has the largest Greek-speaking population outside of Europe?,Melbourne,citylargestgreekspeakingpopulationoutsideeurope
What type of festivals happened when events warranted them?,fulfillment of religious vows,typefestivalhappenedeventwarranted
Who sponsored the promulgation of Eastern Catholic Church laws?,Pope John Paul II,sponsoredpromulgationeasterncatholicchurchlaw
What does the Act require all hunters over the age of sixteen to do?,an annual stamp purchase,actrequirehunteragesixteen
What school has been recognized by the government?,Sunni Islam of the Hanafi,schoolrecognizedgovernment
Where did one of the massacres occur?,Bissorã,onemassacreoccur
Why does translation cause such issues among different cultures?,"English terms lack equivalents in other languages, while concepts and words from other languages fail to be reflected in the English language.",translationcauseissueamongdifferentculture
What century of scholars considered the Hellenistic period a decline in culture from classic Greece?,19th,centuryscholarconsideredhellenisticperioddeclinecultureclassicgreece
To where can judgments be appealed?,Court of Appeal of Tuvalu,judgmentappealed
How many congregations meet on the BYU campus every Sunday?,More than 150,manycongregationmeetbyucampuseverysunday
How did Life Magazine recognize Spielberg?,the most influential person of his generation,lifemagazinerecognizespielberg
"On what radio station did Kanye West deem himself ""the biggest rockstar on the planet""?",BBC Radio 1,radiostationkanyewestdeembiggestrockstarplanet
"Which province supplied a large amount of people to the Sichuan resettlement, following years of turmoil during the Ming-Qing transition?",Huguang Province,provincesuppliedlargeamountpeoplesichuanresettlementfollowingyearturmoilmingqingtransition
Critics argue that Basel III doesn't address which problem?,faulty risk-weightings,criticarguebaseliiidoesntaddressproblem
Who married Indigenous women early on?,male settlers,marriedindigenouswomanearly
What popular magazine placed Kanye on their annual list in 2005 and 2015?,Time,popularmagazineplacedkanyeannuallist20052015
In what century was Eisenhower born?,19th,centuryeisenhowerborn
Which two players most commonly receive the first backward pass in a football play?,quarterback or punter,twoplayercommonlyreceivefirstbackwardpasfootballplay
Who noted Gaddafi's opposition to apartheid?,Nelson Mandela,notedgaddafioppositionapartheid
How many finalists were eliminated during the first results show?,two,manyfinalisteliminatedfirstresultshow
What was the population of Plymouth unitary authority circa 2001?,"240,720",populationplymouthunitaryauthoritycirca2001
When did Paul Delouvrier become the head of the Paris region?,1961,pauldelouvrierbecomeheadparisregion
What does a red card mean?,dismissal,redcardmean
